[2026-03-28T10:28:04.403Z] GET https://crates.io/crates/jsonschema → pending (?ms, ?B)
[2026-03-28T10:28:04.919Z] GET https://crates.io/assets/crates-io.d41d8cd98f00b204e9800998ecf8427e.css → 200 (432ms, ?B)
[2026-03-28T10:28:04.919Z] GET https://code.cdn.mozilla.net/fonts/fira.css → 200 (86ms, 7379B)
[2026-03-28T10:28:04.920Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.css → 200 (153ms, 123620B)
[2026-03-28T10:28:04.920Z] GET https://crates.io/assets/vendor.5fee0add436ceb6bf732dbea4738390d.js → 200 (449ms, 4670B)
[2026-03-28T10:28:04.920Z] GET https://crates.io/assets/chunk.d6ccd009d432a4461eab.js → pending (?ms, ?B)
[2026-03-28T10:28:04.920Z] GET https://crates.io/assets/chunk.0e2b1977c780325d1068.js → 200 (434ms, 7677B)
[2026-03-28T10:28:05.823Z] GET https://crates.io/api/v1/crates/jsonschema?include=keywords%2Ccategories%2Cdownloads%2Cdefault_version → 200 (498ms, 3152B)
[2026-03-28T10:28:06.404Z] GET https://crates.io/api/v1/crates/jsonschema/owner_user → 200 (93ms, 187B)
[2026-03-28T10:28:06.404Z] GET https://crates.io/api/v1/crates/jsonschema/0.45.0/readme → 302 (105ms, ?B)
[2026-03-28T10:28:06.404Z] GET https://docs.rs/crate/jsonschema/0.45.0/status.json → pending (?ms, ?B)
[2026-03-28T10:28:06.404Z] GET https://play.rust-lang.org/meta/crates → 200 (125ms, 27416B)
[2026-03-28T10:28:06.404Z] GET https://crates.io/assets/chunk.75937c9d8a4c729ab36b.js → pending (?ms, ?B)
[2026-03-28T10:28:06.404Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Medium.woff → 200 (95ms, 84076B)
[2026-03-28T10:28:06.405Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Regular.woff → 200 (116ms, 83136B)
[2026-03-28T10:28:06.405Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraSans-Bold.woff → 200 (116ms, 87960B)
[2026-03-28T10:28:06.405Z] GET https://code.cdn.mozilla.net/fonts/woff/FiraMono-Regular.woff → 200 (122ms, 66108B)
